Alpha-9	HPV16	A	A1	HPV16Ref	NC_001526	European (E)
Alpha-9	HPV16	A	A2	w0122	AF536179	European (E)
Alpha-9	HPV16	A	A3	AS411	HQ644236	E
Alpha-9	HPV16	A	A4	w0724	AF534061	Asian, E(As)
Alpha-9	HPV16	B	B1	w0236	AF536180	African-1, Afr1a
Alpha-9	HPV16	B	B2	Z109	HQ644298	African-1, Afr1b
Alpha-9	HPV16	B	B3	IARC202412	KU053910	
Alpha-9	HPV16	B	B4	IARC907912	KU053914	
Alpha-9	HPV16	C	C1	R460	AF472509	African-2, Afr2a
Alpha-9	HPV16	C	C2	IARC240211	HQ644244	
Alpha-9	HPV16	C	C3	IARC207412	KU053921	
Alpha-9	HPV16	C	C4	IARC313712	KU053922	
Alpha-9	HPV16	D	D1	Qv00512	HQ644257	North American (NA)1
Alpha-9	HPV16	D	D2	Qv15321	AY686579	Asian-American (AA)2
Alpha-9	HPV16	D	D3	Qv00995	AF402678	Asian-American (AA)1
Alpha-9	HPV16	D	D4	IARC900912	KU053933	
